A0A0A7EPL0	AT1G08910.1
Q940N4	AT4G22740.2
Q940N6	AT5G21070.1
Q940N7	AT4G05150.1
Q940N9	AT4G21910.3
Q940P0	AT5G03660.1
Q940P1	AT3G09760.1
Q940P5	AT2G20740.1
Q940P8	AT5G20890.1
Q940Q1	AT1G04680.1
Q940Q2	AT1G07590.1
Q940Q3	AT3G20870.3
Q940Q4	AT4G30400.1
Q940Q8	AT5G61840.1
Q940R3	AT5G62650.1
Q940R4	AT4G16563.1
Q940S0	AT1G14670.1
Q940S3	AT1G31070.2
Q940S5	AT1G60970.1
Q940S9	AT3G57890.1
Q940T0	AT1G79420.1
Q940T5	AT5G59550.2
Q940T9	AT5G24930.1
Q940U2	AT5G05220.1
Q940U5	AT1G27700.1
Q940U6	AT3G14110.1
Q940U9	AT5G17440.1
Q940V1	AT4G39960.2
Q940V3	AT2G22590.1
Q940V4	AT3G30180.1
Q940V5	AT3G16175.1
Q940X7	AT5G20570.1
Q940X9	AT5G21160.1
Q940Y1	AT4G22540.5
Q940Y3	AT2G17410.3
Q940Y5	AT1G23080.1
Q940Y6	AT4G27600.1
Q940Y7	AT5G04480.1
Q940Y8	AT3G16060.1
Q940Y9	AT5G43745.1
Q940Z1	AT1G19520.1
Q940Z2	AT3G12380.1
Q940Z5	AT5G39050.1
Q941A0	AT2G46505.1
Q941A4	AT5G45690.1
Q941A6	AT1G08480.1
Q941A7	AT4G20760.2
Q941A9	AT1G26300.1
Q941B1	AT1G69523.1
Q941B2	AT1G09870.1
Q941B6	AT3G24515.1
Q941C5	AT4G13195.1
Q941C7	AT5G58650.1
Q941C9	AT5G25410.1
Q941D1	AT5G23405.1
Q941D3	AT5G19940.1
Q941D5	AT1G03950.1
Q941D6	AT4G33470.1
Q941D7	AT2G38905.1
Q941E5	AT3G50685.1
Q941E9	AT1G67865.2
Q941F1	AT1G06800.1
Q941I2	AT4G17695.1
Q941I6	AT4G02460.1
Q941L0	AT5G05170.1
Q941L2	AT3G61190.2
Q941L3	AT5G61910.4
Q941Q3	AT3G12680.1
Q941R4	AT2G13650.3
Q941R5	AT5G28000.1
Q941R6	AT1G70840.1
Q941R7	AT1G70880.1
Q941R8	AT1G70860.2
Q943Z4	AT3G50560.1
Q943Z6	AT1G48160.2
Q944A2	AT1G20220.1
Q944A3	AT2G47010.2
Q944A6	AT1G09020.1
Q944A7	AT4G35230.1
Q944A9	AT2G35190.1
Q944B0	AT4G26555.1
Q944B6	AT5G34930.1
Q944C1	AT5G58700.3
Q944C2	AT5G58690.3
Q944G5	AT3G47960.1
Q944G6	AT4G03150.1
Q944G8	AT4G30240.1
Q944G9	AT4G38970.1
Q944H0	AT1G48600.2
Q944H1	AT4G10470.2
Q944H2	AT3G21580.1
Q944H5	AT4G27940.1
Q944I4	AT1G80380.2
Q944I5	AT5G08190.1
Q944J0	AT2G22425.2
Q944K2	AT5G66680.1
Q944K3	AT5G26040.2
Q944L3	AT3G45260.2
Q944L5	AT1G26740.1
Q944L7	AT1G18480.1
Q944L8	AT1G11930.1
Q944L9	AT1G17970.1
Q944M2	AT4G14500.1
Q944M5	AT3G28007.1
Q944M6	AT4G20040.1
Q944N8	AT4G05110.3
Q944P0	AT1G61630.1
Q944P7	AT4G30920.1
Q944Q0	AT5G41990.1
Q944Q6	AT2G14835.2
Q944Q9	AT4G31450.2
Q944R1	AT4G13710.1
Q944R2	AT5G65205.1
Q944R3	AT1G50290.1
Q944R7	AT4G16570.1
Q944S1	AT1G59990.1
Q944S2	AT2G47790.1
Q944S3	AT1G43640.1
Q944S4	AT1G64300.2
Q944S5	AT3G28670.3
Q944S8	AT4G21105.3
Q945F0	AT4G39030.1
Q945K7	AT5G03290.1
Q945K9	AT4G34150.1
Q945L0	AT5G57815.1
Q945L4	AT5G40210.1
Q945M1	AT4G34700.1
Q945M8	AT3G53850.2
Q945M9	AT3G20910.1
Q945N1	AT5G50310.1
Q945P1	AT2G39050.1
Q945P2	AT5G49210.2
Q945P6	AT2G24550.1
Q945P8	AT1G19120.1
Q945Q1	AT5G12140.1
Q945Q5	AT2G30695.3
Q945S5	AT5G01490.2
Q945S8	AT2G44150.1
Q946J2	AT1G04050.2
Q946J8	AT5G17690.1
Q946Y7	AT1G28490.1
Q947D2	AT1G76950.1
Q948J9	AT4G31050.1
Q948K6	AT5G39620.1
Q948K8	AT4G09720.1
Q948Q8	AT3G59320.1
Q948R1	AT2G44810.2
Q948R8	AT1G14530.2
Q948R9	AT3G17170.1
Q949M4	AT4G28760.2
Q949M8	AT1G71180.1
Q949M9	AT1G01910.4
Q949N0	AT3G10500.1
Q949N7	AT3G26890.8
Q949N8	AT1G73920.1
Q949P1	AT4G19230.1
Q949P2	AT5G10540.1
Q949P3	AT2G17340.1
Q949P5	AT3G17365.1
Q949Q0	AT2G40690.3
Q949Q1	AT1G18580.1
Q949Q2	AT5G03210.2
Q949Q5	AT1G08380.1
Q949Q7	AT4G30810.1
Q949R3	AT5G33390.1
Q949R4	AT4G15093.1
Q949R9	AT5G20090.4
Q949S2	AT1G30750.1
Q949S3	AT3G42725.1
Q949S4	AT1G14340.1
Q949S5	AT1G80110.1
Q949S6	AT1G14345.1
Q949S7	AT5G15910.1
Q949S9	AT3G18165.1
Q949T8	AT4G30860.1
Q949T9	AT5G14370.1
Q949U1	AT1G16410.1
Q949U2	AT3G13040.3
Q949U4	AT1G76270.1
Q949U5	AT3G07140.1
Q949U7	AT3G52960.1
Q949U9	AT5G15640.1
Q949V0	AT5G51180.2
Q949V6	AT4G34370.1
Q949V8	AT4G17310.9
Q949W6	AT4G31430.3
Q949W7	AT5G19540.2
Q949W8	AT5G49650.1
Q949X0	AT3G15850.1
Q949X1	AT5G17460.5
Q949X7	AT3G14390.1
Q949X9	AT1G71040.1
Q949Y0	AT1G51710.1
Q949Y1	AT1G63240.1
Q949Y3	AT5G34850.1
Q949Y5	AT5G35220.1
Q949Z1	AT1G48100.1
Q949Z2	AT5G26740.3
Q949Z8	AT1G36980.2
Q94A02	AT4G24670.2
Q94A03	AT2G45150.1
Q94A05	AT4G32120.1
Q94A06	AT4G26070.3
Q94A08	AT3G57520.1
Q94A09	AT1G36310.2
Q94A15	AT5G14850.1
Q94A16	AT2G47320.1
Q94A18	AT3G16340.1
Q94A20	AT4G15470.1
Q94A21	AT5G15330.1
Q94A22	AT4G28240.1
Q94A27	AT3G14205.1
Q94A28	AT4G26970.1
Q94A32	AT3G43520.1
Q94A34	AT4G36490.1
Q94A38	AT5G46250.1
Q94A40	AT1G62020.1
Q94A41	AT1G69830.1
Q94A43	AT4G36780.1
Q94A51	AT3G49060.1
Q94A52	AT3G19760.1
Q94A56	AT4G39470.1
Q94A57	AT3G24120.1
Q94A64	AT5G03970.1
Q94A65	AT4G27700.1
Q94A68	AT1G06690.1
Q94A73	AT5G66560.1
Q94A76	AT5G37500.1
Q94A78	AT1G03400.1
Q94A79	AT3G49250.1
Q94A82	AT5G20070.1
Q94A84	AT3G50740.1
Q94A85	AT4G05040.7
Q94A87	AT1G10090.1
Q94A88	AT1G23970.2
Q94A94	AT5G11880.1
Q94A97	AT1G78870.2
Q94A98	AT1G65900.1
Q94A99	AT4G35080.1
Q94AA1	AT3G09470.2
Q94AA3	AT3G09210.1
Q94AA4	AT4G26270.1
Q94AA9	AT5G33290.1
Q94AB1	AT3G14075.3
Q94AB2	AT3G58640.2
Q94AB4	AT3G13340.3
Q94AB5	AT3G46660.1
Q94AB7	AT5G41350.2
Q94AB8	AT1G05070.1
Q94AC1	AT1G09280.1
Q94AC3	AT4G36960.2
Q94AC6	AT5G15220.2
Q94AC8	AT4G28030.1
Q94AD1	AT1G48610.1
Q94AD8	AT5G21040.3
Q94AD9	AT1G04990.6
Q94AE4	AT5G43400.1
Q94AF0	AT4G29820.1
Q94AF2	AT5G19150.2
Q94AF6	AT5G20160.1
Q94AF7	AT2G07340.1
Q94AF9	AT3G05165.3
Q94AG1	AT3G07470.1
Q94AG2	AT1G71830.1
Q94AG6	AT4G39460.3
Q94AG7	AT1G17744.1
Q94AH1	AT3G05010.1
Q94AH2	AT5G64730.1
Q94AH3	AT1G71900.1
Q94AH6	AT4G02570.4
Q94AH7	AT4G36850.1
Q94AH8	AT1G68020.3
Q94AH9	AT4G25630.1
Q94AI1	AT1G49890.1
Q94AI4	AT4G09980.1
Q94AI6	AT1G71820.1
Q94AI7	AT1G15750.4
Q94AI8	AT3G11800.1
Q94AJ5	AT1G80170.1
Q94AJ7	AT4G33666.1
Q94AJ9	AT1G12800.1
Q94AK0	AT5G42825.1
Q94AK1	AT5G24990.1
Q94AK4	AT3G56580.3
Q94AK6	AT3G10985.1
Q94AK8	AT1G25260.1
Q94AL1	AT1G15180.1
Q94AL3	AT3G55290.1
Q94AL6	AT4G20150.1
Q94AL8	AT1G29395.1
Q94AL9	AT2G38400.1
Q94AM1	AT5G65620.2
Q94AM5	AT1G73480.1
Q94AM8	AT4G30996.1
Q94AM9	AT3G14010.5
Q94AN2	AT3G15380.1
Q94AN4	AT1G16060.1
Q94AP0	AT4G04955.1
Q94AP3	AT1G75500.2
Q94AQ3	AT1G48750.1
Q94AQ4	AT4G28085.2
Q94AQ6	AT5G09230.7
Q94AQ7	AT5G11280.1
Q94AQ8	AT1G64770.1
Q94AQ9	AT1G44000.1
Q94AR4	AT4G14270.2
Q94AR6	AT3G21270.1
Q94AR8	AT4G13430.1
Q94AS5	AT5G15860.1
Q94AS9	AT5G54250.4
Q94AT1	AT5G53140.2
Q94AT2	AT5G58570.1
Q94AT3	AT1G49350.1
Q94AT5	AT1G27510.1
Q94AU2	AT1G11890.1
Q94AU3	AT2G21385.1
Q94AU5	AT5G19570.1
Q94AU7	AT5G66510.1
Q94AU9	AT4G04330.1
Q94AV5	AT3G13360.1
Q94AV6	AT4G38500.1
Q94AW5	AT5G25190.1
Q94AW8	AT3G44110.1
Q94AW9	AT2G25355.1
Q94AX0	AT4G17010.1
Q94AX2	AT5G39790.3
Q94AX3	AT2G48140.1
Q94AX4	AT5G06580.1
Q94AX5	AT1G64150.1
Q94AY1	AT5G14760.1
Q94AY3	AT2G30580.2
Q94AZ2	AT5G26340.1
Q94AZ4	AT1G12310.1
Q94AZ5	AT2G45060.1
Q94AZ7	AT5G43680.2
Q94AZ8	AT4G22212.1
Q94B03	AT4G12070.1
Q94B05	AT1G67250.1
Q94B08	AT4G36880.1
Q94B35	AT4G34350.1
Q94B38	AT1G61800.1
Q94B40	AT3G52800.2
Q94B46	AT4G14096.2
Q94B52	AT4G30690.1
Q94B55	AT2G28840.1
Q94B59	AT5G09450.1
Q94B60	AT5G45390.1
Q94B65	AT4G31600.1
Q94B71	AT1G14740.1
Q94B74	AT5G47650.2
Q94B75	AT5G61340.2
Q94B77	AT5G54650.2
Q94B78	AT4G33010.1
Q94BM7	AT1G53090.3
Q94BN0	AT3G48360.1
Q94BN1	AT4G40050.1
Q94BN2	AT5G53120.5
Q94BN8	AT5G55100.2
Q94BP0	AT5G62090.3
Q94BP3	AT4G28570.2
Q94BP7	AT5G40740.1
Q94BQ2	AT5G20000.1
Q94BQ3	AT5G10940.1
Q94BQ5	AT5G27830.1
Q94BQ9	AT1G30890.2
Q94BR1	AT5G63190.2
Q94BR2	AT5G19140.1
Q94BR4	AT1G04510.1
Q94BR5	AT1G50410.3
Q94BS2	AT1G55480.1
Q94BS7	AT4G09340.1
Q94BS8	AT1G72630.1
Q94BT0	AT5G20280.1
Q94BT2	AT3G07390.1
Q94BT6	AT5G57360.1
Q94BT9	AT1G66240.1
Q94BU1	AT1G71810.1
Q94BU8	AT5G28050.3
Q94BV1	AT5G54145.1
Q94BV2	AT5G58575.2
Q94BV4	AT2G45810.1
Q94BV5	AT1G62600.1
Q94BV7	AT4G05020.1
Q94BX2	AT3G50910.1
Q94BX3	AT4G25670.2
Q94BX4	AT3G45100.3
Q94BY1	AT3G52155.3
Q94BY2	AT1G65820.1
Q94BY3	AT5G14030.4
Q94BY4	AT5G35570.1
Q94BY6	AT1G49200.1
Q94BY7	AT3G17930.1
Q94BY8	AT5G40660.1
Q94BY9	AT5G53570.1
Q94BZ0	AT1G50450.1
Q94BZ1	AT5G13750.1
Q94BZ4	AT2G34655.1
Q94BZ5	AT4G13980.1
Q94BZ6	AT1G12850.1
Q94BZ7	AT5G04130.1
Q94C11	AT3G52120.3
Q94C12	AT3G18410.2
Q94C15	AT1G69680.1
Q94C20	AT5G64160.1
Q94C21	AT1G11480.1
Q94C25	AT5G20050.1
Q94C26	AT3G22231.1
Q94C27	AT1G70590.1
Q94C32	AT4G37280.1
Q94C33	AT3G51180.1
Q94C37	AT1G05230.9
Q94C40	AT1G48260.1
Q94C48	AT4G32330.4
Q94C49	AT4G22750.1
Q94C50	AT5G17210.1
Q94C53	AT4G27120.2
Q94C57	AT4G34135.1
Q94C59	AT1G30690.2
Q94C60	AT5G63670.1
Q94C65	AT5G38895.3
Q94C69	AT2G17870.1
Q94C70	AT2G34190.1
Q94C74	AT5G26780.4
Q94C75	AT5G08620.1
Q94C77	AT4G34220.1
Q94C78	AT3G51140.1
Q94C86	AT3G16850.1
Q94C90	AT1G04900.1
Q94C95	AT3G61960.1
Q94C98	AT4G14990.1
Q94CA0	AT1G77220.1
Q94CA5	AT1G55675.1
Q94CA9	AT1G75090.1
Q94CB1	AT3G10720.2
Q94CB2	AT4G32560.2
Q94CB5	AT5G43260.1
Q94CC0	AT5G49945.1
Q94CC1	AT5G27730.1
Q94CC6	AT4G36195.3
Q94CD1	AT5G41040.1
Q94CD4	AT5G13190.1
Q94CD5	AT5G45900.1
Q94CD8	AT3G13560.5
Q94CE3	AT4G33580.3
Q94CE4	AT1G70410.2
Q94CE5	AT3G22200.1
Q94CE6	AT3G06660.1
Q94CF0	AT3G20290.3
Q94CF4	AT1G62050.1
Q94CG0	AT5G57630.1
Q94CG2	AT4G14455.1
Q94CH5	AT1G75920.1
Q94CH6	AT1G75900.1
Q94CH7	AT1G75890.1
Q94CH8	AT1G75880.1
Q94CI6	AT5G27360.3
Q94CI7	AT5G27350.1
Q94CJ3	AT1G48000.1
Q94CJ5	AT5G12470.1
Q94CJ7	AT5G12450.1
Q94CJ8	AT5G12440.9
Q94CK0	AT5G12420.1
Q94CK1	AT5G12410.1
Q94CK3	AT5G12390.1
Q94CK4	AT5G12380.1
Q94CK6	AT5G12360.2
Q94CK9	AT5G12330.4
Q94CL1	AT5G12310.1
Q94CL2	AT5G12300.1
Q94CL4	AT5G12280.1
Q94CL5	AT5G12270.1
Q94CL6	AT4G16440.1
Q94CL7	AT4G28610.1
Q94CL8	AT3G55050.2
Q94CL9	AT1G49620.3
Q94EG4	AT3G56820.1
Q94EG6	AT5G02240.1
Q94EG9	AT1G55910.1
Q94EH2	AT4G26670.1
Q94EH8	AT1G66260.2
Q94EI3	AT5G17550.1
Q94EI6	AT2G40630.1
Q94EI9	AT3G14410.1
Q94EJ2	AT1G08460.1
Q94EJ3	AT5G54855.1
Q94EJ6	AT4G18030.1
Q94EW8	AT5G26731.1
Q94F00	AT1G31190.1
Q94F04	AT3G51090.1
Q94F08	AT5G62630.1
Q94F09	AT1G35620.1
Q94F16	AT3G05510.1
Q94F20	AT5G25460.1
Q94F23	AT1G27290.2
Q94F26	AT4G10050.1
Q94F27	AT5G53340.1
Q94F28	AT1G27435.1
Q94F30	AT4G15880.1
Q94F37	AT1G67850.7
Q94F39	AT3G29575.4
Q94F40	AT1G28600.1
Q94F47	AT1G64230.2
Q94F49	AT5G27670.1
Q94F50	AT5G48790.1
Q94F54	AT3G15070.2
Q94F57	AT2G47930.1
Q94F58	AT5G22290.1
Q94F62	AT4G33430.1
Q94F87	AT4G19020.1
Q94F88	AT1G69770.1
Q94FB9	AT4G39850.4
Q94FL5	AT1G16590.1
Q94FL6	AT1G14350.2
Q94FL7	AT5G55020.1
Q94FL9	AT5G11510.4
Q94FN2	AT2G35630.1
Q94FT1	AT1G53030.1
Q94FT2	AT3G54480.5
Q94FY7	AT4G32770.1
Q94GA6	AT4G22680.1
Q94GB1	AT2G33750.1
Q94HV7	AT1G59560.1
Q94HV8	AT1G59550.1
Q94HW2	AT4G23160.3
Q94HW4	AT1G59171.2
Q94HW6	AT1G59453.1
Q94IA6	AT3G13730.1
Q94IB8	AT4G36480.2
Q94IB9	AT4G22330.1
Q94ID1	AT3G23630.1
Q94ID2	AT5G19040.3
Q94ID3	AT1G68460.1
Q94ID6	AT1G28360.1
Q94II3	AT4G19120.2
Q94II5	AT2G21620.2
Q94IU8	AT5G19050.1
Q94JL3	AT1G61660.7
Q94JM2	AT3G06200.1
Q94JM3	AT5G62000.5
Q94JM4	AT4G19390.1
Q94JQ3	AT4G32520.2
Q94JQ4	AT3G20390.1
Q94JQ6	AT5G64740.1
Q94JQ7	AT1G07830.1
Q94JR1	AT3G10030.1
Q94JR2	AT5G45310.2
Q94JR6	AT3G59930.1
Q94JS0	AT5G13430.1
Q94JS1	AT4G26860.1
Q94JS4	AT1G76090.1
Q94JT5	AT4G35220.1
Q94JT6	AT1G78070.1
Q94JU2	AT3G28050.1
Q94JU3	AT1G02090.1
Q94JV0	AT1G69210.1
Q94JV1	AT1G69340.2
Q94JV2	AT3G27050.1
Q94JV4	AT1G54290.1
Q94JV5	AT4G08790.1
Q94JV8	AT2G04795.1
Q94JV9	AT4G15140.1
Q94JW0	AT3G58180.1
Q94JW8	AT1G69170.1
Q94JW9	AT2G43340.1
Q94JX1	AT2G18090.1
Q94JX5	AT1G10200.1
Q94JX6	AT5G18390.1
Q94JX8	AT3G52220.1
Q94JX9	AT3G49470.1
Q94JY0	AT4G34090.1
Q94JY3	AT3G23570.3
Q94JY4	AT2G22640.1
Q94JZ8	AT1G14570.2
Q94K00	AT2G40150.1
Q94K01	AT4G31770.1
Q94K05	AT3G03960.1
Q94K07	AT5G56950.1
Q94K10	AT1G04230.1
Q94K13	AT3G01850.2
Q94K14	AT5G26110.3
Q94K18	AT4G29660.1
Q94K21	AT1G33055.1
Q94K30	AT1G01800.1
Q94K34	AT3G06570.1
Q94K36	AT3G24100.1
Q94K41	AT2G47140.1
Q94K43	AT1G62540.1
Q94K48	AT3G62530.1
Q94K49	AT3G63270.1
Q94K52	AT1G02475.1
Q94K59	AT4G24350.1
Q94K61	AT2G20725.1
Q94K66	AT4G14690.1
Q94K68	AT5G27560.4
Q94K70	AT1G12730.1
Q94K71	AT3G48420.1
Q94K72	AT1G16170.1
Q94K73	AT3G58140.1
Q94K74	AT3G25805.1
Q94K75	AT1G06190.1
Q94K76	AT5G18470.1
Q94K78	AT2G40765.1
Q94K80	AT4G35890.1
Q94K85	AT4G01610.1
Q94K88	AT4G37210.1
Q94K91	AT3G22290.2
Q94K97	AT5G24490.1
Q94K98	AT1G27200.1
Q94KB1	AT1G26700.2
Q94KB2	AT4G24250.1
Q94KB4	AT1G42560.1
Q94KB7	AT1G61560.1
Q94KB9	AT3G45290.1
Q94KD0	AT5G58470.2
Q94KD2	AT5G51950.1
Q94KD3	AT1G71270.1
Q94KD8	AT1G02640.1
Q94KE0	AT1G08920.1
Q94KE1	AT1G77260.1
Q94KE2	AT3G22380.1
Q94KE3	AT3G52990.1
Q94KI8	AT4G03560.1
Q94KJ2	AT4G25990.1
Q94KJ7	AT3G54860.1
Q94KK5	AT3G61450.1
Q94KK6	AT3G45280.3
Q94KK7	AT1G79590.2
Q94KL5	AT2G23760.3
Q94KT8	AT5G60920.1
Q94L32	AT5G57020.1
Q94LA4	AT1G44318.1
Q94LA6	AT1G44414.1
Q94LA7	AT1G44478.1
Q94LA9	AT1G44542.1
Q94LW6	AT5G19600.1
Q94LW7	AT3G50240.1
Q95695	ATCG01080.1
Q95747	ATMG00080.1
Q95748	ATMG00070.1
Q95749	ATMG00090.1
Q96242	AT5G42650.1
Q96243	AT5G43370.2
Q96247	AT2G38120.1
Q96250	AT2G33040.1
Q96251	AT5G13450.1
Q96252	AT5G47030.1
Q96253	AT1G51650.1
Q96254	AT2G44100.1
Q96255	AT4G35630.1
Q96261	AT2G21490.1
Q96262	AT4G20260.9
Q96266	AT2G47730.2
Q96270	AT1G52690.2
Q96273	AT2G35300.1
Q96274	AT1G14930.1
Q96276	AT5G40330.1
Q96282	AT5G49890.1
Q96283	AT3G46830.2
Q96285	AT3G59700.1
Q96286	AT3G02470.4
Q96287	AT4G00720.1
Q96288	AT1G06040.1
Q96289	AT1G27730.1
Q96290	AT1G20840.2
Q96291	AT3G11630.1
Q96292	AT3G18780.3
Q96293	AT1G49240.1
Q96299	AT2G42590.3
Q96300	AT3G02520.2
Q96301	AT3G11540.1
Q96303	AT2G38940.1
Q96305	AT3G02000.1
Q96316	AT3G60280.1
Q96318	AT4G28520.1
Q96319	AT5G10810.1
Q96320	AT4G36990.1
Q96321	AT3G06720.2
Q96323	AT4G22880.3
Q96324	AT3G03190.1
Q96326	AT3G51790.1
Q96327	AT3G51800.1
Q96328	AT3G51830.1
Q96329	AT3G51840.1
Q96330	AT5G08640.2
Q96331	AT4G25200.1
Q96500	AT3G26740.1
Q96502	AT3G02380.1
Q96509	AT5G14130.2
Q96510	AT3G49960.1
Q96511	AT5G64100.1
Q96512	AT1G44970.1
Q96514	AT1G13110.1
Q96518	AT2G18980.1
Q96519	AT1G68850.1
Q96520	AT1G71695.1
Q96522	AT4G30170.1
Q96524	AT1G04400.2
Q96528	AT1G20630.1
Q96529	AT3G57610.1
Q96533	AT5G43940.1
Q9AR07	AT1G19640.1
Q9AR19	AT3G54610.1
Q9ASP6	AT4G00830.6
Q9ASQ2	AT5G45420.3
Q9ASQ5	AT2G11520.1
Q9ASQ6	AT1G29720.1
Q9ASQ7	AT4G27970.6
Q9ASQ9	AT1G34200.1
Q9ASR0	AT5G62700.1
Q9ASR1	AT1G56070.3
Q9ASR3	AT2G46960.2
Q9ASR4	AT5G27410.2
Q9ASS2	AT1G20110.1
Q9ASS4	AT5G48380.1
Q9ASS6	AT5G13120.1
Q9ASS7	AT1G58030.1
Q9AST1	AT1G50300.1
Q9AST3	AT1G14290.1
Q9AST4	AT4G31930.1
Q9AST5	AT5G49540.1
Q9AST6	AT1G32410.5
Q9AST8	AT2G16005.1
Q9AST9	AT1G73110.1
Q9ASU1	AT3G51520.1
Q9ASU6	AT1G42440.1
Q9ASU7	AT5G61770.1
Q9ASU8	AT5G11790.1
Q9ASV5	AT4G39690.1
Q9ASV6	AT3G15190.1
Q9ASW1	AT3G06440.1
Q9ASW3	AT3G49260.4
Q9ASW4	AT3G21215.4
Q9ASW5	AT2G18360.1
Q9ASW8	AT1G54460.1
Q9ASX5	AT5G05200.1
Q9ASX9	AT1G29950.2
Q9ASY2	AT5G53310.1
Q9ASY5	AT3G47965.1
Q9ASY8	AT5G41685.1
Q9ASY9	AT3G16990.1
Q9ASZ1	AT4G00270.1
Q9ASZ4	AT3G17900.2
Q9ASZ6	AT4G35320.1
Q9ASZ8	AT1G12620.1
Q9ASZ9	AT1G60730.1
Q9AT00	AT1G65410.1
Q9AT60	AT2G05590.2
Q9AT61	AT2G30340.1
Q9AT76	AT1G77080.4
Q9ATB4	AT4G16420.1
Q9ATY5	AT3G28030.1
Q9AUE0	AT1G05570.4
Q9AV97	AT1G79500.4
Q9C4Z6	AT1G48630.1
Q9C4Z7	AT1G69390.1
Q9C4Z8	AT1G31750.1
Q9C500	AT1G47200.1
Q9C501	AT1G33350.2
Q9C502	AT1G33340.1
Q9C503	AT1G55370.2
Q9C504	AT1G31760.1
Q9C505	AT1G69410.1
Q9C507	AT1G69350.1
Q9C508	AT1G57990.1
Q9C509	AT1G27980.1
Q9C510	AT1G56360.1
Q9C512	AT1G51590.1
Q9C514	AT1G48830.2
Q9C515	AT1G66090.1
Q9C516	AT1G31930.6
Q9C517	AT1G66420.1
Q9C518	AT1G58100.1
Q9C519	AT1G62300.1
Q9C521	AT1G77610.1
Q9C522	AT3G06650.2
Q9C523	AT1G58170.1
Q9C524	AT1G66430.1
Q9C525	AT1G66270.1
Q9C529	AT1G60870.1
Q9C533	AT1G69420.2
Q9C534	AT1G30200.2
Q9C535	AT1G29700.2
Q9C538	AT1G49900.1
Q9C540	AT1G26100.1
Q9C544	AT1G69370.1
Q9C545	AT1G43010.1
Q9C546	AT1G69330.1
Q9C550	AT1G74040.1
Q9C551	AT1G31970.1
Q9C552	AT1G72320.4
Q9C553	AT1G51580.1
Q9C554	AT1G69530.2
Q9C555	AT1G31960.1
Q9C557	AT1G66560.1
Q9C560	AT1G72000.1
Q9C562	AT5G58380.1
Q9C564	AT1G31490.1
Q9C565	AT1G69380.1
Q9C566	AT2G15790.1
Q9C567	AT5G22210.2
Q9C568	AT5G22200.1
Q9C569	AT5G22190.1
Q9C570	AT5G22180.1
Q9C571	AT5G22170.1
Q9C572	AT5G22160.1
Q9C573	AT5G22150.1
Q9C574	AT5G22140.1
Q9C576	AT5G22120.1
Q9C578	AT5G22100.1
Q9C580	AT5G22080.1
Q9C581	AT5G22070.1
Q9C584	AT5G22040.3
Q9C585	AT5G22030.1
Q9C586	AT5G22020.3
Q9C587	AT5G22010.1
Q9C589	AT5G21280.1
Q9C590	AT5G21970.2
Q9C591	AT5G21960.1
Q9C593	AT5G21940.1
Q9C595	AT5G21920.1
Q9C597	AT5G21900.1
Q9C598	AT5G08790.1
Q9C5A4	AT5G08730.1
Q9C5A5	AT5G08720.1
Q9C5A9	AT5G08680.1
Q9C5B9	AT1G10810.1
Q9C5C0	AT1G53510.1
Q9C5C1	AT4G31330.1
Q9C5C2	AT5G25980.2
Q9C5C4	AT4G17830.1
Q9C5C5	AT1G07700.4
Q9C5C7	AT3G24530.1
Q9C5C8	AT4G21860.4
Q9C5D0	AT4G34120.1
Q9C5D2	AT4G15475.1
Q9C5D3	AT5G63530.1
Q9C5D6	AT1G05940.1
Q9C5D7	AT4G26220.1
Q9C5E4	AT3G60410.3
Q9C5E5	AT2G20900.4
Q9C5E6	AT1G15430.2
Q9C5E7	AT4G25880.5
Q9C5E8	AT3G47833.1
Q9C5F3	AT4G28025.1
Q9C5F4	AT1G70570.1
Q9C5G0	AT1G30970.1
Q9C5G2	AT1G15200.1
Q9C5G5	AT3G51460.1
Q9C5G6	AT1G23440.3
Q9C5G7	AT4G23040.1
Q9C5G8	AT3G54190.1
Q9C5H4	AT3G16270.3
Q9C5H5	AT5G66850.1
Q9C5H6	AT3G59360.2
Q9C5H9	AT5G17410.1
Q9C5I0	AT1G01230.1
Q9C5I1	AT5G52560.1
Q9C5I3	AT1G28370.2
Q9C5J3	AT5G25060.1
Q9C5J4	AT3G22104.1
Q9C5J5	AT1G19010.1
Q9C5J6	AT5G20040.1
Q9C5J7	AT5G56630.1
Q9C5J8	AT5G19620.1
Q9C5J9	AT5G64813.3
Q9C5K0	AT1G70160.1
Q9C5K6	AT1G34150.1
Q9C5K7	AT1G06640.1
Q9C5K8	AT5G20900.1
Q9C5L3	AT3G47420.3
Q9C5M0	AT5G19760.1
Q9C5M1	AT3G19800.1
Q9C5M3	AT1G78970.3
Q9C5M5	AT1G27000.1
Q9C5M7	AT1G54380.1
Q9C5M8	AT4G24780.2
Q9C5N0	AT5G02480.1
Q9C5N2	AT5G25100.1
Q9C5N3	AT4G08960.1
Q9C5N4	AT1G55680.1
Q9C5N8	AT1G54020.2
Q9C5P0	AT2G24740.1
Q9C5P1	AT1G17770.1
Q9C5P4	AT1G73100.1
Q9C5P6	AT4G16350.2
Q9C5P7	AT1G02010.1
Q9C5Q2	AT2G41070.4
Q9C5Q8	AT4G20910.2
Q9C5Q9	AT1G65390.1
Q9C5R0	AT4G27720.1
Q9C5R8	AT5G06290.1
Q9C5S0	AT2G14890.1
Q9C5S1	AT3G55270.1
Q9C5S2	AT2G17520.1
Q9C5S8	AT4G23130.1
